index,Name,TemplateName,Position
0,vc_bt_bt_16_in,vc_bt_bt_16_in_treq,1
1,vc_bt_bt_16_out,vc_bt_bt_16_out_treq,1
2,vc_bt_bt_16_out,vc_bt_bt_16_out_cng,2
3,vc_bt_bt_8_in,vc_bt_bt_8_in_treq,1
4,vc_bt_bt_8_out,vc_bt_bt_8_out_treq,1
5,vc_bt_bt_8_out,vc_bt_bt_8_out_cng,2
6,vc_hset_hset_16_in,vc_hset_hset_16_in_treq,1
7,vc_hset_hset_16_out,vc_hset_hset_16_out_treq,1
8,vc_hset_hset_16_out,vc_hset_hset_16_out_cng,2
9,vc_hset_hset_8_in,vc_hset_hset_8_in_treq,1
10,vc_hset_hset_8_out,vc_hset_hset_8_out_treq,1
11,vc_hset_hset_8_out,vc_hset_hset_8_out_cng,2
12,vc_mic_hset_16_in,vc_mic_hset_16_in_treq,1
13,vc_mic_hset_16_out,vc_mic_hset_16_out_treq,1
14,vc_mic_hset_16_out,vc_mic_hset_16_out_cng,2
15,vc_mic_hset_8_in,vc_mic_hset_8_in_treq,1
16,vc_mic_hset_8_out,vc_mic_hset_8_out_treq,1
17,vc_mic_hset_8_out,vc_mic_hset_8_out_cng,2
18,vc_usb_usb_16_in,vc_usb_usb_16_in_treq,1
19,vc_usb_usb_16_out,vc_usb_usb_16_out_treq,1
20,vc_usb_usb_8_in,vc_usb_usb_8_in_treq,1
21,vc_usb_usb_8_out,vc_usb_usb_8_out_treq,1
22,vc_mic_earpiece_extra_16_in,vc_mic_earpiece_extra_16_in_treq,1
23,vc_mic_earpiece_extra_16_out,vc_mic_earpiece_extra_16_out_treq,1
24,vc_mic_earpiece_extra_16_out,vc_mic_earpiece_extra_16_out_cng,2
25,vc_mic_earpiece_extra_8_in,vc_mic_earpiece_extra_8_in_treq,1
26,vc_mic_earpiece_extra_8_out,vc_mic_earpiece_extra_8_out_treq,1
27,vc_mic_earpiece_extra_8_out,vc_mic_earpiece_extra_8_out_cng,2
28,vc_mic_speaker_extra_16_in,vc_mic_speaker_extra_16_in_treq,1
29,vc_mic_speaker_extra_16_out,vc_mic_speaker_extra_16_out_treq,1
30,vc_mic_speaker_extra_16_out,vc_mic_speaker_extra_16_out_cng,2
31,vc_mic_speaker_extra_8_in,vc_mic_speaker_extra_8_in_treq,1
32,vc_mic_speaker_extra_8_out,vc_mic_speaker_extra_8_out_treq,1
33,vc_mic_speaker_extra_8_out,vc_mic_speaker_extra_8_out_cng,2
34,vc_mic_btec_8_in,vc_mic_btec_8_in_treq,1
35,vc_mic_btec_8_out,vc_mic_btec_8_out_treq,1
36,vc_mic_btec_8_out,vc_mic_btec_8_out_cng,2
37,vc_mic_btec_16_in,vc_mic_btec_16_in_treq,1
38,vc_mic_btec_16_out,vc_mic_btec_16_out_treq,1
39,vc_mic_btec_16_out,vc_mic_btec_16_out_cng,2
40,vt_mic_btec_8_in,vt_mic_btec_8_in_treq,1
41,vt_mic_btec_8_out,vt_mic_btec_8_out_treq,1
42,vt_mic_btec_8_out,vt_mic_btec_8_out_cng,2
43,vt_mic_btec_16_in,vt_mic_btec_16_in_treq,1
44,vt_mic_btec_16_out,vt_mic_btec_16_out_treq,1
45,vt_mic_btec_16_out,vt_mic_btec_16_out_cng,2
46,voip_mic_btec_16_in,voip_mic_btec_16_in_treq,1
