index,Dev,Type,NMics,Mic0,Mic1,Mic2,Mic3,Mic4,Mic5
0,REF_HSetIn,ANALOG,2,MIC1B,MIC1B,,,,
1,REF_HSetIn_Loopback,ANALOG,1,MIC1B,,,,,
2,REF_HSetIn_Loopback_PCM,ANALOG,1,MIC1B,,,,,
3,REF_Mic,ANALOG,2,MIC2,MIC2,,,,
4,REF_Mic_BT_EC_Voicecall_NB,ANALOG,2,MIC2,MIC2,,,,
5,REF_Mic_BT_EC_Voicecall_WB,ANALOG,2,MIC2,MIC2,,,,
6,REF_Mic_BT_EC_VT_NB,ANALOG,2,MIC2,MIC2,,,,
7,REF_Mic_BT_EC_VT_WB,ANALOG,2,MIC2,MIC2,,,,
8,REF_Mic_BT_Voicecall_NB,ANALOG,2,MIC2,MIC2,,,,
9,REF_Mic_BT_Voicecall_WB,ANALOG,2,MIC2,MIC2,,,,
10,REF_Mic_BT_Voip_WB,ANALOG,2,MIC2,MIC2,,,,
11,REF_Mic_Earpiece_Voicecall_NB,ANALOG,2,MIC2,MIC2,,,,
12,REF_Mic_Earpiece_Voicecall_WB,ANALOG,2,MIC2,MIC2,,,,
13,REF_Mic_Earpiece_Voip_3pole,ANALOG,2,MIC2,MIC2,,,,
14,REF_Mic_Earpiece_Voip_WB,ANALOG,2,MIC2,MIC2,,,,
15,REF_Mic_Earpiece_VT_NB,ANALOG,2,MIC2,MIC2,,,,
16,REF_Mic_Earpiece_VT_WB,ANALOG,2,MIC2,MIC2,,,,
17,REF_Mic_Headset_Recording,ANALOG,2,MIC1B,MIC1B,,,,
18,REF_Mic_Headset_VideoRecording,ANALOG,2,MIC1B,MIC1B,,,,
19,REF_Mic_Headset_Voicecall_NB,ANALOG,2,MIC1B,MIC1B,,,,
20,REF_Mic_Headset_Voicecall_WB,ANALOG,2,MIC1B,MIC1B,,,,
21,REF_Mic_Headset_VoiceRecognition,ANALOG,2,MIC1B,MIC1B,,,,
22,REF_Mic_Headset_Voip_4pole,ANALOG,2,MIC1B,MIC1B,,,,
23,REF_Mic_Headset_VT_NB,ANALOG,2,MIC1B,MIC1B,,,,
24,REF_Mic_Headset_VT_WB,ANALOG,2,MIC1B,MIC1B,,,,
25,REF_Mic_Loopback,ANALOG,1,MIC2,,,,,
26,REF_Mic_Loopback_PCM,ANALOG,1,MIC2,,,,,
27,REF_Mic_Main_Recording,ANALOG,2,MIC2,MIC2,,,,
28,REF_Mic_Main_VideoRecording,ANALOG,2,MIC2,MIC2,,,,
29,REF_Mic_Main_VoiceRecognition,ANALOG,2,MIC2,MIC2,,,,
30,REF_Mic_Speaker_Voicecall_NB,ANALOG,2,MIC2,MIC2,,,,
31,REF_Mic_Speaker_Voicecall_WB,ANALOG,2,MIC2,MIC2,,,,
32,REF_Mic_Speaker_Voip_WB,ANALOG,2,MIC2,MIC2,,,,
33,REF_Mic_Speaker_VT_NB,ANALOG,2,MIC2,MIC2,,,,
34,REF_Mic_Speaker_VT_WB,ANALOG,2,MIC2,MIC2,,,,
