index,InDev,OutDev,SampleRate,InDevEffectChainName,OutDevEffectChainName,SpeechTemplateName,OutDevVolumeTable,SidetonePreset,ANCPreset
0,REF_HSetIn,REF_HSetOut,8000,vc_hset_hset_8_in,vc_hset_hset_8_out,vc_hset_hset_8_speech_proc,vc_headset_8_vol_tab,,
1,REF_HSetIn,REF_HSetOut,16000,vc_hset_hset_16_in,vc_hset_hset_16_out,vc_hset_hset_16_speech_proc,vc_headset_16_vol_tab,,
2,REF_Mic,REF_HSetOut,8000,vc_mic_hset_8_in,vc_mic_hset_8_out,vc_mic_hset_8_speech_proc,vc_headset_8_vol_tab,,
3,REF_Mic,REF_HSetOut,16000,vc_mic_hset_16_in,vc_mic_hset_16_out,vc_mic_hset_16_speech_proc,vc_headset_16_vol_tab,,
4,REF_Mic,REF_Speaker,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,vc_speaker_8_vol_tab,,
5,REF_Mic,REF_Speaker,16000,vc_mic_speaker_16_in,vc_mic_speaker_16_out,vc_mic_speaker_16_speech_proc,vc_speaker_16_vol_tab,,
6,REF_Mic,REF_Earpiece,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,vc_earpiece_8_vol_tab,,
7,REF_Mic,REF_Earpiece,16000,vc_mic_earpiece_16_in,vc_mic_earpiece_16_out,vc_mic_earpiece_16_speech_proc,vc_earpiece_16_vol_tab,,
8,REF_BTIn,REF_BTOut,8000,vc_bt_bt_8_in,vc_bt_bt_8_out,vc_bt_bt_8_speech_proc,vc_headset_8_vol_tab,,
9,REF_BTIn,REF_BTOut,16000,vc_bt_bt_16_in,vc_bt_bt_16_out,vc_bt_bt_16_speech_proc,vc_headset_16_vol_tab,,
10,REF_TTYIn,REF_TTYOut,8000,None,None,vc_tty_tty_8_speech_proc,None,,
11,REF_TTYIn,REF_TTYOut,16000,None,None,vc_tty_tty_16_speech_proc,None,,
12,REF_USBIn,REF_USBOut,8000,None,None,vc_usb_usb_8_speech_proc,None,,
13,REF_USBIn,REF_USBOut,16000,None,None,vc_usb_usb_16_speech_proc,None,,
14,REF_Mic_Loopback,REF_Speaker,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,vc_speaker_8_vol_tab,,
15,REF_Mic_Loopback,REF_Speaker,16000,vc_mic_speaker_16_in,vc_mic_speaker_16_out,vc_mic_speaker_16_speech_proc,vc_speaker_16_vol_tab,,
16,REF_Mic_Loopback,REF_Earpiece,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,vc_earpiece_8_vol_tab,,
17,REF_Mic_Loopback,REF_Earpiece,16000,vc_mic_earpiece_16_in,vc_mic_earpiece_16_out,vc_mic_earpiece_16_speech_proc,vc_earpiece_16_vol_tab,,
18,REF_Mic_Loopback,REF_HSetOut,8000,vc_mic_hset_8_in,vc_mic_hset_8_out,vc_mic_hset_8_speech_proc,vc_headset_8_vol_tab,,
19,REF_Mic_Loopback,REF_HSetOut,16000,vc_mic_hset_16_in,vc_mic_hset_16_out,vc_mic_hset_16_speech_proc,vc_headset_16_vol_tab,,
20,REF_Mic_Loopback_PCM,REF_Speaker,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,vc_speaker_8_vol_tab,,
21,REF_Mic_Loopback_PCM,REF_Speaker,16000,vc_mic_speaker_16_in,vc_mic_speaker_16_out,vc_mic_speaker_16_speech_proc,vc_speaker_16_vol_tab,,
22,REF_Mic_Loopback_PCM,REF_Earpiece,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,vc_earpiece_8_vol_tab,,
23,REF_Mic_Loopback_PCM,REF_Earpiece,16000,vc_mic_earpiece_16_in,vc_mic_earpiece_16_out,vc_mic_earpiece_16_speech_proc,vc_earpiece_16_vol_tab,,
24,REF_Mic_Loopback_PCM,REF_HSetOut,8000,vc_mic_hset_8_in,vc_mic_hset_8_out,vc_mic_hset_8_speech_proc,vc_headset_8_vol_tab,,
25,REF_Mic_Loopback_PCM,REF_HSetOut,16000,vc_mic_hset_16_in,vc_mic_hset_16_out,vc_mic_hset_16_speech_proc,vc_headset_16_vol_tab,,
26,REF_HSetIn_Loopback,REF_HSetOut,8000,vc_hset_hset_8_in,vc_hset_hset_8_out,vc_hset_hset_8_speech_proc,vc_headset_8_vol_tab,,
27,REF_HSetIn_Loopback,REF_HSetOut,16000,vc_hset_hset_16_in,vc_hset_hset_16_out,vc_hset_hset_16_speech_proc,vc_headset_16_vol_tab,,
28,REF_HSetIn_Loopback_PCM,REF_HSetOut,8000,vc_hset_hset_8_in,vc_hset_hset_8_out,vc_hset_hset_8_speech_proc,vc_headset_8_vol_tab,,
29,REF_HSetIn_Loopback_PCM,REF_HSetOut,16000,vc_hset_hset_16_in,vc_hset_hset_16_out,vc_hset_hset_16_speech_proc,vc_headset_16_vol_tab,,
30,REF_Mic_BT_EC_Voicecall_NB,REF_BT_EC_Voicecall_NB,8000,vc_mic_btec_8_in,vc_mic_btec_8_out,vc_mic_btec_8_speech_proc,vc_bt_ec_8_vol_tab,,
31,REF_Mic_BT_EC_Voicecall_WB,REF_BT_EC_Voicecall_WB,8000,vc_mic_btec_8_in,vc_mic_btec_8_out,vc_mic_btec_8_speech_proc,vc_bt_ec_8_vol_tab,,
32,REF_Mic_BT_EC_Voicecall_WB,REF_BT_EC_Voicecall_WB,16000,vc_mic_btec_16_in,vc_mic_btec_16_out,vc_mic_btec_16_speech_proc,vc_bt_ec_16_vol_tab,,
33,REF_Mic_BT_EC_VT_NB,REF_BT_EC_VT_NB,8000,vt_mic_btec_8_in,vt_mic_btec_8_out,vt_mic_btec_8_speech_proc,vt_bt_ec_8_vol_tab,,
34,REF_Mic_BT_EC_VT_WB,REF_BT_EC_VT_WB,8000,vt_mic_btec_8_in,vt_mic_btec_8_out,vt_mic_btec_8_speech_proc,vt_bt_ec_8_vol_tab,,
35,REF_Mic_BT_EC_VT_WB,REF_BT_EC_VT_WB,16000,vt_mic_btec_16_in,vt_mic_btec_16_out,vt_mic_btec_16_speech_proc,vt_bt_ec_16_vol_tab,,
36,REF_Mic_BT_EC_Voip_WB,REF_BT_EC_Voip_WB,16000,voip_mic_btec_16_in,voip_mic_btec_16_out,voip_mic_btec_16_speech_proc,voip_bt_ec_16_vol_tab,,
37,REF_Mic_BT_EC_Voip_WB,REF_BT_EC_Voip_WB,8000,vc_mic_btec_8_in,vc_mic_btec_8_out,vc_mic_btec_8_speech_proc,voip_bt_ec_16_vol_tab,,
38,REF_Mic_BT_Voicecall_NB,REF_BT_Voicecall_NB,8000,vc_mic_bt_8_in,vc_mic_bt_8_out,vc_mic_bt_8_speech_proc,vc_bt_8_vol_tab,,
39,REF_Mic_BT_Voicecall_NB,REF_BT_Voicecall_NB,16000,vc_mic_bt_16_in,vc_mic_bt_16_out,vc_mic_bt_16_speech_proc,vc_bt_16_vol_tab,,
40,REF_Mic_BT_Voicecall_WB,REF_BT_Voicecall_WB,8000,vc_mic_bt_8_in,vc_mic_bt_8_out,vc_mic_bt_8_speech_proc,vc_bt_8_vol_tab,,
41,REF_Mic_BT_Voicecall_WB,REF_BT_Voicecall_WB,16000,vc_mic_bt_16_in,vc_mic_bt_16_out,vc_mic_bt_16_speech_proc,vc_bt_16_vol_tab,,
42,REF_Mic_BT_VT_NB,REF_BT_VT_NB,8000,vt_mic_bt_8_in,vt_mic_bt_8_out,vt_mic_bt_8_speech_proc,vt_bt_8_vol_tab,,
43,REF_Mic_BT_VT_WB,REF_BT_VT_WB,8000,vt_mic_bt_8_in,vt_mic_bt_8_out,vt_mic_bt_8_speech_proc,vt_bt_8_vol_tab,,
44,REF_Mic_BT_VT_WB,REF_BT_VT_WB,16000,vt_mic_bt_16_in,vt_mic_bt_16_out,vt_mic_bt_16_speech_proc,vt_bt_16_vol_tab,,
45,REF_Mic_BT_Voip_WB,REF_BT_Voip_WB,16000,voip_mic_bt_16_in,voip_mic_bt_16_out,voip_mic_bt_16_speech_proc,voip_bt_16_vol_tab,,
46,REF_Mic_BT_Voip_WB,REF_BT_Voip_WB,8000,vc_mic_bt_8_in,vc_mic_bt_8_out,vc_mic_bt_8_speech_proc,voip_bt_16_vol_tab,,
47,REF_Mic_Headset_Voicecall_NB,REF_Headset_Voicecall_NB,8000,vc_mic_headset_8_in,vc_mic_headset_8_out,vc_mic_headset_8_speech_proc,vc_headset_8_vol_tab,,
48,REF_Mic_Headset_Voicecall_WB,REF_Headset_Voicecall_WB,16000,vc_mic_headset_16_in,vc_mic_headset_16_out,vc_mic_headset_16_speech_proc,vc_headset_16_vol_tab,,
49,REF_Mic_Headset_VT_NB,REF_Headset_VT_NB,8000,vt_mic_headset_8_in,vt_mic_headset_8_out,vt_mic_headset_8_speech_proc,vt_headset_8_vol_tab,,
50,REF_Mic_Headset_VT_WB,REF_Headset_VT_WB,16000,vt_mic_headset_16_in,vt_mic_headset_16_out,vt_mic_headset_16_speech_proc,vt_headset_16_vol_tab,,
51,REF_Mic_Headset_Voip_4pole,REF_Headset_Voip_4pole,16000,voip_mic_headset_4pole_in,voip_mic_headset_4pole_out,voip_mic_headset_4pole_speech_proc,voip_headset_4pole_vol_tab,,
52,REF_Mic_Earpiece_Voip_3pole,REF_Headset_Voip_3pole,16000,voip_mic_headset_3pole_in,voip_mic_headset_3pole_out,voip_mic_headset_3pole_speech_proc,voip_headset_3pole_vol_tab,,
53,REF_Mic_Headset_Voip_4pole,REF_Headset_Voip_4pole,8000,vc_mic_headset_8_in,vc_mic_headset_8_out,vc_mic_headset_8_speech_proc,voip_headset_4pole_vol_tab,,
54,REF_Mic_Earpiece_Voip_3pole,REF_Headset_Voip_3pole,8000,vc_mic_earpiece_8_in,vc_mic_headset_8_out,vc_mic_headset_8_speech_proc,voip_headset_3pole_vol_tab,,
55,REF_Mic_Speaker_Voicecall_NB,REF_Speaker_Voicecall_NB,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,vc_speaker_8_vol_tab,,
56,REF_Mic_Speaker_Voicecall_WB,REF_Speaker_Voicecall_WB,16000,vc_mic_speaker_16_in,vc_mic_speaker_16_out,vc_mic_speaker_16_speech_proc,vc_speaker_16_vol_tab,,
57,REF_Mic_Speaker_VT_NB,REF_Speaker_VT_NB,8000,vt_mic_speaker_8_in,vt_mic_speaker_8_out,vt_mic_speaker_8_speech_proc,vt_speaker_8_vol_tab,,
58,REF_Mic_Speaker_VT_WB,REF_Speaker_VT_WB,16000,vt_mic_speaker_16_in,vt_mic_speaker_16_out,vt_mic_speaker_16_speech_proc,vt_speaker_16_vol_tab,,
59,REF_Mic_Speaker_Voip_WB,REF_Speaker_Voip_WB,16000,voip_mic_speaker_16_in,voip_mic_speaker_16_out,voip_mic_speaker_16_speech_proc,voip_speaker_16_vol_tab,,
60,REF_Mic_Earpiece_Voip_WB,REF_Speaker_Voip_WB,16000,voip_mic_speaker_16_in,voip_mic_speaker_16_out,voip_mic_speaker_16_speech_proc,voip_speaker_16_vol_tab,,
61,REF_Mic_Speaker_Voip_WB,REF_Speaker_Voip_WB,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,voip_speaker_16_vol_tab,,
62,REF_Mic_Earpiece_Voip_WB,REF_Speaker_Voip_WB,8000,vc_mic_speaker_8_in,vc_mic_speaker_8_out,vc_mic_speaker_8_speech_proc,voip_speaker_16_vol_tab,,
63,REF_Mic_Earpiece_Voicecall_NB,REF_Earpiece_Voicecall_NB,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,vc_earpiece_8_vol_tab,,
64,REF_Mic_Earpiece_Voicecall_WB,REF_Earpiece_Voicecall_WB,16000,vc_mic_earpiece_16_in,vc_mic_earpiece_16_out,vc_mic_earpiece_16_speech_proc,vc_earpiece_16_vol_tab,,
65,REF_Mic_Earpiece_VT_NB,REF_Earpiece_VT_NB,8000,vt_mic_earpiece_8_in,vt_mic_earpiece_8_out,vt_mic_earpiece_8_speech_proc,vt_earpiece_8_vol_tab,,
66,REF_Mic_Earpiece_VT_WB,REF_Earpiece_VT_WB,16000,vt_mic_earpiece_16_in,vt_mic_earpiece_16_out,vt_mic_earpiece_16_speech_proc,vt_earpiece_16_vol_tab,,
67,REF_Mic_Earpiece_Voip_WB,REF_Earpiece_Voip_WB,16000,voip_mic_earpiece_16_in,voip_mic_earpiece_16_out,voip_mic_earpiece_16_speech_proc,voip_earpiece_16_vol_tab,,
68,REF_Mic_Speaker_Voip_WB,REF_Earpiece_Voip_WB,16000,voip_mic_earpiece_16_in,voip_mic_earpiece_16_out,voip_mic_earpiece_16_speech_proc,voip_earpiece_16_vol_tab,,
69,REF_Mic_Earpiece_Voip_WB,REF_Earpiece_Voip_WB,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,voip_earpiece_16_vol_tab,,
70,REF_Mic_Speaker_Voip_WB,REF_Earpiece_Voip_WB,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,voip_earpiece_16_vol_tab,,
71,REF_Mic_Earpiece_Voip_3pole,REF_Earpiece_Voip_WB,16000,voip_mic_earpiece_16_in,voip_mic_earpiece_16_out,voip_mic_earpiece_16_speech_proc,voip_earpiece_16_vol_tab,,
72,REF_Mic_Earpiece_Voip_3pole,REF_Earpiece_Voip_WB,16000,voip_mic_earpiece_16_in,voip_mic_earpiece_16_out,voip_mic_earpiece_16_speech_proc,voip_earpiece_16_vol_tab,,
73,REF_Mic_Earpiece_Voip_3pole,REF_Earpiece_Voip_WB,8000,vc_mic_earpiece_8_in,vc_mic_earpiece_8_out,vc_mic_earpiece_8_speech_proc,voip_earpiece_16_vol_tab,,
74,REF_Mic_Earpiece_VT_WB,REF_Headset_VT_WB,16000,vt_mic_earpiece_16_in,vt_mic_headset_16_out,vt_mic_headset_16_speech_proc,vt_headset_16_vol_tab,,
75,REF_Mic,REF_Speaker_extra,8000,vc_mic_speaker_extra_8_in,vc_mic_speaker_extra_8_out,vc_mic_speaker_extra_8_speech_proc,vc_speaker_extra_8_vol_tab,,
76,REF_Mic,REF_Speaker_extra,16000,vc_mic_speaker_extra_16_in,vc_mic_speaker_extra_16_out,vc_mic_speaker_extra_16_speech_proc,vc_speaker_extra_16_vol_tab,,
77,REF_Mic,REF_Earpiece_extra,8000,vc_mic_earpiece_extra_8_in,vc_mic_earpiece_extra_8_out,vc_mic_earpiece_extra_8_speech_proc,vc_earpiece_extra_8_vol_tab,,
78,REF_Mic,REF_Earpiece_extra,16000,vc_mic_earpiece_extra_16_in,vc_mic_earpiece_extra_16_out,vc_mic_earpiece_extra_16_speech_proc,vc_earpiece_extra_16_vol_tab,,
