index,Name,Param,Value
0,a2dp_sink_alsa_config,nPortIndex,0
1,a2dp_sink_alsa_config,bEnable,1
2,a2dp_sink_alsa_config,cDeviceName,bluetooth
3,hdmi_sink_alsa_config,nPortIndex,0
4,hdmi_sink_alsa_config,bEnable,1
5,hdmi_sink_alsa_config,cDeviceName,hdmi av8100-codec-dai-0
6,usb_alsa_config,nPortIndex,0
7,usb_alsa_config,bEnable,1
8,usb_alsa_config,cDeviceName,USB Audio
9,treq_m_p,MemoryPreset,100
10,treq_m_p,stereo,0
11,treq_m_p,nb_alloc_biquad_cells_per_channel,15
12,treq_m_p,nb_alloc_FIR_coefs_per_channel,193
13,vc_bt_bt_16_in_treq_p,MemoryPreset,100
14,vc_bt_bt_16_in_treq_p,stereo,0
15,vc_bt_bt_16_in_treq_p,nb_alloc_biquad_cells_per_channel,4
16,vc_bt_bt_16_in_treq_p,nb_alloc_FIR_coefs_per_channel,100
17,vc_bt_bt_16_in_treq_c,same_biquad_l_r,1
18,vc_bt_bt_16_in_treq_c,same_FIR_l_r,1
19,vc_bt_bt_16_in_treq_c,biquad_first,0
20,vc_bt_bt_16_in_treq_c,biquad_gain_exp_l,0
21,vc_bt_bt_16_in_treq_c,biquad_gain_mant_l,2147483647
22,vc_bt_bt_16_in_treq_c,biquad_gain_exp_r,0
23,vc_bt_bt_16_in_treq_c,biquad_gain_mant_r,2147483647
24,vc_bt_bt_16_in_treq_c,FIR_gain_exp_l,0
25,vc_bt_bt_16_in_treq_c,FIR_gain_mant_l,2147483647
26,vc_bt_bt_16_in_treq_c,FIR_gain_exp_r,0
27,vc_bt_bt_16_in_treq_c,FIR_gain_mant_r,2147483647
28,vc_bt_bt_16_in_treq_c,nb_biquad_cells_per_channel,0
29,vc_bt_bt_16_in_treq_c,nb_FIR_coefs_per_channel,1
30,vc_bt_bt_16_in_treq_c,biquad_cell_0.b_exp,0
31,vc_bt_bt_16_in_treq_c,biquad_cell_1.b_exp,0
32,vc_bt_bt_16_in_treq_c,biquad_cell_2.b_exp,0
33,vc_bt_bt_16_in_treq_c,biquad_cell_3.b_exp,0
34,vc_bt_bt_16_in_treq_c,biquad_cell_4.b_exp,0
35,vc_bt_bt_16_in_treq_c,biquad_cell_5.b_exp,0
36,vc_bt_bt_16_in_treq_c,biquad_cell_6.b_exp,0
37,vc_bt_bt_16_in_treq_c,biquad_cell_7.b_exp,0
38,vc_bt_bt_16_in_treq_c,biquad_cell_8.b_exp,0
39,vc_bt_bt_16_in_treq_c,biquad_cell_9.b_exp,0
40,vc_bt_bt_16_in_treq_c,biquad_cell_10.b_exp,0
41,vc_bt_bt_16_in_treq_c,biquad_cell_11.b_exp,0
42,vc_bt_bt_16_in_treq_c,biquad_cell_12.b_exp,0
43,vc_bt_bt_16_in_treq_c,biquad_cell_13.b_exp,0
44,vc_bt_bt_16_in_treq_c,biquad_cell_14.b_exp,0
45,vc_bt_bt_16_in_treq_c,biquad_cell_15.b_exp,0
46,vc_bt_bt_16_in_treq_c,biquad_cell_16.b_exp,0
47,vc_bt_bt_16_in_treq_c,biquad_cell_17.b_exp,0
48,vc_bt_bt_16_in_treq_c,biquad_cell_18.b_exp,0
49,vc_bt_bt_16_in_treq_c,biquad_cell_19.b_exp,0
50,vc_bt_bt_16_in_treq_c,biquad_cell_20.b_exp,0
51,vc_bt_bt_16_in_treq_c,biquad_cell_21.b_exp,0
52,vc_bt_bt_16_in_treq_c,biquad_cell_22.b_exp,0
53,vc_bt_bt_16_in_treq_c,biquad_cell_23.b_exp,0
54,vc_bt_bt_16_in_treq_c,biquad_cell_24.b_exp,0
55,vc_bt_bt_16_in_treq_c,biquad_cell_25.b_exp,0
